No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	1	220uF	C1	CAP-SMD_BD10.0-L10.3-W10.3-LS11.3-FD	220uF	UWT1H221MNL1GS	Nichicon(尼吉康)	C125977	LCSC
2	1	220uF	C2	CAP-SMD_BD6.3-L6.6-W6.6-FD	220uF	RVT220UF16V67RV0015	KNSCHA(科尼盛)	C2887273	LCSC
3	2	1uF	C5,C7	C0805	1uF	CL21B105KBFNNNE	SAMSUNG(三星)	C28323	LCSC
4	1	10uF	C6	C0805	10uF	CC0805KKX5R7BB106	YAGEO(国巨)	C89827	LCSC
5	2	WJ2EDGVC-5.08-02P-14-00A	CN1,CN2	CONN-TH_WJ2EDGVC-5.08-2P		WJ2EDGVC-5.08-02P-14-00A	KANGNEX(康奈克斯电气)	C8445	LCSC
6	2	SS34	D1,D2	SMA_L4.3-W2.6-LS5.2-RD		SS34	MDD(辰达半导体)	C8678	LCSC
7	1	IRLZ44NPBF	Q1	TO-220-3_L10.0-W4.5-P2.54-T		IRLZ44NPBF	Infineon(英飞凌)	C38774	LCSC
8	2	10kΩ	R1,R9	R0805	10kΩ	0805W8F1002T5E	UNI-ROYAL(厚声)	C17414	LCSC
9	2	4.7kΩ	R3,R4	R0805	4.7kΩ	0805W8F4701T5E	UNI-ROYAL(厚声)	C17673	LCSC
10	1	100Ω	R5	R0805	100Ω	0805W8F1000T5E	UNI-ROYAL(厚声)	C17408	LCSC
11	1	0Ω	R7	R0402	0Ω	0402WGF0000TCE	UNI-ROYAL(厚声)	C17168	LCSC
12	1	0Ω	R8	R0805	0Ω	0805W8F0000T5E	UNI-ROYAL(厚声)	C17477	LCSC
13	1	2kΩ	R10	R0805	2kΩ	0805W8F2001T5E	UNI-ROYAL(厚声)	C17604	LCSC
14	1	3.3kΩ	R11	R0805	3.3kΩ	0805W8F3301T5E	UNI-ROYAL(厚声)	C26010	LCSC
15	2	K3-1296S-E1	SW1,SW2	SW-TH_K3-1296S-E1		K3-1296S-E1	韩国韩荣	C128955	LCSC
16	1	LM2596S-5.0/TR	U3	TO-263-5_L10.2-W8.6-P1.70-LS14.4-TL		LM2596S-5.0/TR	HGSEMI(华冠)	C194349	LCSC
17	1	AMS1117-3.3	U5	SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR		AMS1117-3.3	AMS	C6186	LCSC
18	1	2.4GHz	U6	WIFIM-SMD_39P-L25.5-W18.0-P1.27-BL	2.4GHz	ESP32-WROOM-32D-N4	ESPRESSIF(乐鑫)	C473012	LCSC
19	1	CDRH127_0630-3.3uH/6A	U7	IND-SMD_L12.0-W12.0_744771008		CDRH127_0630-3.3uH/6A		C9900005927	LCSC
20	1	HDR-1X6	U8	CONN-TH_6P-P2.50_HX25035-6A		HDR-1X6		C9900004873	LCSC
21	1	HDR1X4_3.96mm	U9	CONN-TH_4P-P3.96_FWF39601-S04S22W1B		HDR1X4_3.96mm		C9900002236	LCSC
